Var x   y   width   height
A 0.5    166.5   23  30
B 22.5   166.5   23  30
C 46.5   164.5   23  30
D 70.5   164.5   23  30
E 93.5   165.5   23  30
F 114.5  165.5   23  30
G 138.5  166.5   23  30
H 161.5  166.5   23  30
I 185.5  165.5   23  30
J 203.5  166.5   23  30
K 226.5  165.5   23  30
L 250.5  166.5   23  30
M 270.5  163.5   27  28
N 302.5  166.5   25  28
O 327.5  165.5   25  28
P 355.5  165.5   25  28
Q 380.5  166.5   25  28
R 407.5  166.5   25  28
S 430.5  166.5   25  28
T 455.5  165.5   25  28
U 481.5  164.5   25  28
V 510.5  164.5   25  28
W 538.5  166.5   32  28
X 572.5  164.5   24  28
Y 599.5  165.5   24  28
Z 623.5  166.5   17  28
a 0.5    206.5   17  28
b 17.5   206.5   17  28
c 38.5   206.5   17  28
d 55.5   203.5   21  29
e 76.5   210.5   18  21
f 92.5   203.5   17  31
g 109.5  210.5   21  27
h 129.5  205.5   21  27
i 150.5  205.5   15  27
j 162.5  205.5   20  32
k 178.5  204.5   20  29
l 199.5  205.5   15  29
m 216.5  207.5   25  29
n 243.5  210.5   20  25
o 265.5  209.5   20  25
p 285.5  211.5   20  25
q 306.5  209.5   21  29
r 324.5  210.5   19  22
s 342.5  209.5   19  22
t 359.5  206.5   19  27
u 376.5  208.5   19  24
v 397.5  208.5   19  24
w 415.5  207.5   24  28
x 441.5  207.5   24  28
y 462.5  208.5   21  32
z 482.5  208.5   21  27
0 0.5    241.5   19  27
1 17.5   241.5   19  27
2 36.5   242.5   19  27
3 58.5   240.5   21  31
4 80.5   240.5   21  31
5 101.5  239.5   21  31
6 122.5  239.5   21  31
7 145.5  240.5   21  31
8 165.5  241.5   21  31
9 189.5  241.5   21  31 
